Nom,Abrege,color
Amaryllis,Ama,#9b1e04
Apollons,Apo,#bd381d
Argus verts,Arg,#ea5233
Aurores,Aur,#ff441d
Belle-dame,Bel,#ff871d
Brun des pélargoniums,Bru,#f79d4d
Carte géographique,Car,#ffc18a
Citrons,Cit,#c68a56
Cuivré,Cui,#a5642a
Céphales,Cép,#78410f
Demi-deuils,Dem,#ad8e36
Flambés,Fla,#e3be55
Gazé,Gaz,#ffcc3b
Goutte de sang,Gou,#e8e85c
Grand nègre des bois,Gnb,#c4e85c
Grand paon de nuit,Gpn,#a5cf2b
Grande tortue,Gto,#7ca409
Hespérides orangées,Hes,#63810c
Hespérides tachetées,Hes,#13810c
Lycènes bleus,Lyb,#24bb1a
Lycènes orangés,Lyo,#58e54f
Machaons,Mac,#3cefa0
Moirés,Moi,#1fc27a
Morio,Mor,#20d6cb
Moro-sphinx,Mos,#17b3aa
Myrtil,Myr,#007b74
Mégères,Még,#1d62a0
Pacha à deux queues,Pac,#3485cf
Paon du jour,Pao,#2798ff
Petit mars changeant,Pmc,#2768ff
Petit paon de nuit,Ppn,#5f87e5
Petites tortues,Pto,#5975b6
Piérides blanches,Pié,#3a4f80
Procris,Pro,#222876
Robert-le-diable,Rob,#414ac6
Silène,Sil,#3341ff
Souci,Sou,#9f33ff
Soufrés et Fluorés,Sof,#b488dc
Sphinx du liseron,Spl,#784ba2
Sphinx à tête de mort,Stm,#551096
Sylvains,Syl,#941096
Tabac d'Espagne,Tab,#aa4eab
Tircis,Tir,#eb96ec
Tristan,Tri,#f060f2
Vulcain,Vul,#e82abd
Écaille chinée,Éca,#d104a3
